name,slug,value,date_of_information,ranking,region
"British Virgin Islands","british-virgin-islands","2.00","2017 est.","163","Central America and the Caribbean"
"New Caledonia","new-caledonia","2.00","2017 est.","164","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","1.88","2021 est.","165","Africa"
"Cayman Islands","cayman-islands","1.84","2021 est.","166","Central America and the Caribbean"
"Burundi","burundi","1.80","2021 est.","167","Africa"
"Liechtenstein","liechtenstein","1.80","2012 est.","168","Europe"
"Japan","japan","1.66","2021 est.","169","East and Southeast Asia"
"Mongolia","mongolia","1.64","2021 est.","170","East and Southeast Asia"
"Qatar","qatar","1.59","2021 est.","171","Middle East"
"Thailand","thailand","1.53","2021 est.","172","East and Southeast Asia"
"Kiribati","kiribati","1.50","2021 est.","173","Australia and Oceania"
"Nauru","nauru","1.50","2021 est.","174","Australia and Oceania"
"Gabon","gabon","1.46","2021 est.","175","Africa"
"Niger","niger","1.39","2021 est.","176","Africa"
"Lesotho","lesotho","1.35","2021 est.","177","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.35","2021 est.","178","Central America and the Caribbean"
"Cuba","cuba","1.25","2021 est.","179","Central America and the Caribbean"
"Marshall Islands","marshall-islands","1.11","2021 est.","180","Australia and Oceania"
"Angola","angola","1.10","2021 est.","181","Africa"
"Guam","guam","1.06","2021 est.","182","Australia and Oceania"
"French Polynesia","french-polynesia","1.02","2021 est.","183","Australia and Oceania"
"Cocos (Keeling) Islands","cocos-keeling-islands","1.00","2003","184","Australia and Oceania"
"Jersey","jersey","1.00","2016 est.","185","Europe"
"Central African Republic","central-african-republic","0.90","2021 est.","186","Africa"
"Vanuatu","vanuatu","0.45","2021 est.","187","Australia and Oceania"
"Guernsey","guernsey","0.40","2015 est.","188","Europe"
"Greenland","greenland","0.36","2020 est.","189","North America"
"Papua New Guinea","papua-new-guinea","0.30","2021 est.","190","East and Southeast Asia"
"Isle of Man","isle-of-man","0.25","2019 est.","191","Europe"
"Puerto Rico","puerto-rico","0.21","2021 est.","192","Central America and the Caribbean"
"Cook Islands","cook-islands","0.10","2005 est.","193","Australia and Oceania"
"Barbados","barbados","-0.19","2021 est.","194","Central America and the Caribbean"
"Solomon Islands","solomon-islands","-0.20","2021 est.","195","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","-0.88","2021 est.","196","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","-0.95","2021 est.","197","Africa"
