name,slug,value,date_of_information,ranking,region
"San Marino","san-marino","20,318","2019 est.","211","Europe"
"Saint Martin","saint-martin","19,300","March 2022 est.","212","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","17,418","2016 est.","213","Australia and Oceania"
"American Samoa","american-samoa","17,147","2020 est.","214","Australia and Oceania"
"Anguilla","anguilla","12,489","2019 est.","215","Central America and the Caribbean"
"Cook Islands","cook-islands","9,476","2019 est.","216","Australia and Oceania"
"Palau","palau","7,650","2016 est.","217","Australia and Oceania"
"Saint Barthelemy","saint-barthelemy","7,128","2020 est.","218","Central America and the Caribbean"
"Nauru","nauru","6,136","2019 est.","219","Australia and Oceania"
"Tuvalu","tuvalu","5,711","2019 est.","220","Australia and Oceania"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4,500","2016 est.","221","North America"
"Antarctica","antarctica","4,400","2016 est.","222","Antarctica"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","3,343","2019 est.","223","South America"
"Montserrat","montserrat","2,744","2019 est.","224","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","2,302","2019 est.","225","Africa"
"Niue","niue","1,292","2019 est.","226","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","1,029","2019 est.","227","Australia and Oceania"
"Tokelau","tokelau","805","2019 est.","228","Australia and Oceania"
"Christmas Island","christmas-island","790","2016 est.","229","Australia and Oceania"
"Norfolk Island","norfolk-island","612","2016 est.","230","Australia and Oceania"
"Pitcairn Islands","pitcairn-islands","50","2022 est.","231","Australia and Oceania"
