name,slug,value,date_of_information,ranking,region
"Liechtenstein","liechtenstein","$2,230,000,000","2014 est.","169","Europe"
"Lesotho","lesotho","$2,221,000,000","2021 est.","170","Africa"
"Barbados","barbados","$2,213,000,000","2017 est.","171","Central America and the Caribbean"
"Eswatini","eswatini","$2,173,000,000","2021 est.","172","Africa"
"Chad","chad","$2,160,000,000","2017 est.","173","Africa"
"Aruba","aruba","$1,947,000,000","2021 est.","174","Central America and the Caribbean"
"Bermuda","bermuda","$1,925,000,000","2021 est.","175","North America"
"Curacao","curacao","$1,915,000,000","2021 est.","176","Central America and the Caribbean"
"Suriname","suriname","$1,876,000,000","2021 est.","177","South America"
"Seychelles","seychelles","$1,821,000,000","2021 est.","178","Africa"
"Andorra","andorra","$1,727,000,000","2020 est.","179","Europe"
"Timor-Leste","timor-leste","$1,523,000,000","2021 est.","180","East and Southeast Asia"
"Sierra Leone","sierra-leone","$1,418,000,000","2020 est.","181","Africa"
"Monaco","monaco","$1,371,000,000","2017 est.","182","Europe"
"Belize","belize","$1,252,000,000","2021 est.","183","Central America and the Caribbean"
"Liberia","liberia","$1,244,000,000","2019 est.","184","Africa"
"Eritrea","eritrea","$1,127,000,000","2017 est.","185","Africa"
"Cabo Verde","cabo-verde","$1,117,000,000","2021 est.","186","Africa"
"Bhutan","bhutan","$1,027,000,000","2021 est.","187","South Asia"
"Sint Maarten","sint-maarten","$992,658,000","2021 est.","188","Central America and the Caribbean"
"Faroe Islands","faroe-islands","$978,400,000","2016 est.","189","Europe"
"Burundi","burundi","$905,294,000","2018 est.","190","Africa"
"Northern Mariana Islands","northern-mariana-islands","$893,000,000","2016 est.","191","Australia and Oceania"
"Antigua and Barbuda","antigua-and-barbuda","$868,797,000","2021 est.","192","Central America and the Caribbean"
"Saint Lucia","saint-lucia","$846,484,000","2021 est.","193","Central America and the Caribbean"
"Greenland","greenland","$783,500,000","2015 est.","194","North America"
"Gambia, The","gambia-the","$726,000,000","2021 est.","195","Africa"
"Grenada","grenada","$650,000,000","2021 est.","196","Central America and the Caribbean"
"Solomon Islands","solomon-islands","$619,460,000","2021 est.","197","Australia and Oceania"
"American Samoa","american-samoa","$615,000,000","2016 est.","198","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","$544,219,000","2018 est.","199","Central America and the Caribbean"
"Vanuatu","vanuatu","$495,858,000","2021 est.","200","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$441,192,000","2021 est.","201","Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","$439,000,000","2020 est.","202","Africa"
"Samoa","samoa","$430,011,000","2021 est.","203","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$415,725,000","2021 est.","204","Central America and the Caribbean"
"Comoros","comoros","$407,000,000","2021 est.","205","Africa"
"Central African Republic","central-african-republic","$393,100,000","2017 est.","206","Africa"
"Dominica","dominica","$302,000,000","2021 est.","207","Central America and the Caribbean"
"British Virgin Islands","british-virgin-islands","$300,000,000","2017 est.","208","Central America and the Caribbean"
"Tonga","tonga","$285,675,000","2021 est.","209","Australia and Oceania"
"Kiribati","kiribati","$201,984,000","2021 est.","210","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$201,145,000","2021 est.","211","Africa"
"Anguilla","anguilla","$186,200,000","2017 est.","212","Central America and the Caribbean"
"Palau","palau","$180,380,000","2021 est.","213","Australia and Oceania"
