name,slug,value,date_of_information,ranking,region
"Singapore","singapore","3,500","2017","158","East and Southeast Asia"
"Fiji","fiji","3,440","2011","159","Australia and Oceania"
"Belize","belize","3,281","2017","160","Central America and the Caribbean"
"Malta","malta","3,096","2008","161","Europe"
"Gambia, The","gambia-the","2,977","2011","162","Africa"
"Brunei","brunei","2,976","2014","163","East and Southeast Asia"
"Djibouti","djibouti","2,893","2013","164","Africa"
"Equatorial Guinea","equatorial-guinea","2,880","2017","165","Africa"
"Luxembourg","luxembourg","2,875","2019","166","Europe"
"Bahamas, The","bahamas-the","2,700","2011","167","Central America and the Caribbean"
"French Polynesia","french-polynesia","2,590","1999","168","Australia and Oceania"
"Mauritius","mauritius","2,428","2015","169","Africa"
"Hong Kong","hong-kong","2,193","2021","170","East and Southeast Asia"
"Marshall Islands","marshall-islands","2,028","2007","171","Australia and Oceania"
"Kosovo","kosovo","2,012","2015","172","Europe"
"Barbados","barbados","1,700","2015","173","Central America and the Caribbean"
"Dominica","dominica","1,512","2018","174","Central America and the Caribbean"
"Solomon Islands","solomon-islands","1,390","2011","175","Australia and Oceania"
"Cabo Verde","cabo-verde","1,350","2013","176","Africa"
"Sao Tome and Principe","sao-tome-and-principe","1,300","2018","177","Africa"
"Virgin Islands","virgin-islands","1,260","2008","178","Central America and the Caribbean"
"Saint Lucia","saint-lucia","1,210","2011","179","Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","1,170","2011","180","Central America and the Caribbean"
"Samoa","samoa","1,150","2018","181","Australia and Oceania"
"Grenada","grenada","1,127","2017","182","Central America and the Caribbean"
"Isle of Man","isle-of-man","1,107","2022","183","Europe"
"Vanuatu","vanuatu","1,070","2000","184","Australia and Oceania"
"Guam","guam","1,045","2008","185","Australia and Oceania"
"Aruba","aruba","1,000","2010","186","Central America and the Caribbean"
"Faroe Islands","faroe-islands","960","2017","187","Europe"
"Comoros","comoros","880","2002","188","Africa"
"Cayman Islands","cayman-islands","785","2007","189","Central America and the Caribbean"
"Tonga","tonga","680","2011","190","Australia and Oceania"
"Kiribati","kiribati","670","2017","191","Australia and Oceania"
"Liechtenstein","liechtenstein","630","2019","192","Europe"
"Jersey","jersey","576","2010","193","Europe"
"Curacao","curacao","550","","194","Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","536","2008","195","Australia and Oceania"
"Seychelles","seychelles","526","2015","196","Africa"
"Bermuda","bermuda","447","2010","197","North America"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","440","2008","198","South America"
"Macau","macau","428","2017","199","East and Southeast Asia"
